,country_iso2,country_iso3,nb_local_artists,nb_exported_artists,nb_occurences_exported_artists,cumulative_rank_exported_artists,%_internet,population_total
0,AE,ARE,3,2,3,248,100.0,10483751.0
1,AR,ARG,94,81,307,28800,89.2,45538401.0
2,AT,AUT,11,3,5,617,94.9,9132000.0
3,AU,AUS,18,18,171,11635,97.1,26658948.0
4,BE,BEL,11,7,27,2816,94.6,11787423.0
5,BG,BGR,71,2,2,311,80.4,6446596.0
6,BO,BOL,4,0,0,0,70.2,12244159.0
7,BR,BRA,166,90,150,13888,84.2,211140729.0
8,BY,BLR,3,3,10,1069,91.5,9178298.0
9,CA,CAN,13,23,374,44478,94.0,40097761.0
10,CH,CHE,4,2,3,459,97.3,8888093.0
11,CL,CHL,50,12,67,5124,94.5,19658835.0
12,CO,COL,70,43,454,57211,77.3,52321152.0
13,CR,CRI,0,0,0,0,85.4,5105525.0
14,CZ,CZE,77,23,24,2977,86.0,10864042.0
15,DE,DEU,101,69,162,15123,93.5,83280000.0
16,DK,DNK,83,5,8,827,99.8,5947000.0
17,DO,DOM,68,8,34,2789,84.6,11331265.0
18,EC,ECU,3,0,0,0,77.2,17980000.0
19,EE,EST,39,1,1,0,93.2,1370286.0
20,EG,EGY,137,14,18,1639,72.7,114535772.0
21,ES,ESP,80,22,120,10268,95.4,48347910.0
22,FI,FIN,101,2,2,240,93.5,5583911.0
23,FR,FRA,110,51,187,19850,86.8,68287487.0
24,GB,GBR,61,79,880,74249,96.3,68350000.0
25,GR,GRC,148,1,2,157,85.0,10405588.0
26,GT,GTM,3,2,18,1583,56.1,18124838.0
27,HK,HKG,76,4,14,1592,96.0,7536100.0
28,HN,HND,1,0,0,0,58.3,10644851.0
29,HU,HUN,65,1,1,8,91.5,9592000.0
30,ID,IDN,118,28,31,2751,69.2,281190067.0
31,IE,IRL,17,5,36,2797,96.5,5307600.0
32,IL,ISR,104,1,2,73,87.0,9756600.0
33,IN,IND,183,160,227,20649,56.0,1438069596.0
34,IS,ISL,73,1,7,419,99.8,393349.0
35,JP,JPN,147,28,61,4507,87.0,124516650.0
36,KR,KOR,115,44,407,40291,97.4,51712619.0
37,KZ,KAZ,42,5,5,426,92.9,20330104.0
38,LT,LTU,51,1,1,195,88.5,2871585.0
39,LU,LUX,0,0,0,0,98.8,666430
40,LV,LVA,33,0,0,0,92.2,1877445.0
41,MA,MAR,72,4,5,325,91.0,37712505.0
42,MX,MEX,115,91,476,45710,81.2,129739759.0
43,MY,MYS,54,5,8,715,97.7,35126298.0
44,NG,NGA,121,6,18,1374,39.2,227882945.0
45,NI,NIC,0,0,0,0,58.2,6823613.0
46,NL,NLD,81,16,58,4271,97.0,17877117.0
47,NO,NOR,61,9,40,3450,99.0,5519594.0
48,NZ,NZL,5,1,2,18,96.2,5223100.0
49,PA,PAN,39,7,23,2689,78.0,4458759.0
50,PE,PER,14,0,0,0,79.5,33845617.0
51,PH,PHL,81,6,10,874,83.8,114891199.0
52,PK,PAK,48,10,12,991,27.4,247504495.0
53,PL,POL,116,4,4,260,86.4,36687353.0
54,PT,PRT,28,4,4,280,85.8,10578174.0
55,PY,PRY,14,0,0,0,78.1,6844146.0
56,RO,ROU,93,3,8,561,89.2,19059479.0
57,SA,SAU,14,4,4,274,100.0,33264292.0
58,SE,SWE,78,19,69,5129,95.7,10536632.0
59,SG,SGP,2,4,9,1033,94.3,5917648.0
60,SK,SVK,56,13,14,1583,89.8,5427000.0
61,SV,SLV,0,0,0,0,67.7,6309624.0
62,TH,THA,127,1,11,928,89.5,71702435.0
63,TR,TUR,176,1,1,28,87.3,85330000.0
64,TW,TWN,74,13,21,2191,91.0,23420000.0
65,UA,UKR,45,5,8,834,82.4,37732836.0
66,US,USA,137,277,3532,344280,93.1,334914895.0
67,UY,URY,24,4,8,668,89.9,3388081.0
68,VE,VEN,19,10,57,5204,62.0,28300854.0
69,VN,VNM,153,0,0,0,78.1,100352192.0
70,ZA,ZAF,99,6,9,452,75.7,63212384.0
